key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
server.config.parameter.system.iucn_settings.objecttypes.link.label,Objekttyp mit Verwendung des zuvor ausgewählten Objekttyps,FALSE,Object type with usage of the previously selected objecttype,FALSE,Object type with usage of the previously selected objecttype,TRUE,"Objektityyppi, jossa käytetään aiemmin valittua objektityyppiä",FALSE,Objekttyp med den tidigare valda objekttypen,FALSE,Type d'objet avec utilisation du type d'objet précédemment sélectionné,FALSE,,FALSE,,FALSE
server.config.parameter.system.iucn_settings.tag_red.label,Rote Liste Tag,FALSE,Red list tag,FALSE,Red list tag,TRUE,Punaisen kirjan tunniste,FALSE,Röd lista tagg,FALSE,Étiquette de la liste rouge,FALSE,,FALSE,,FALSE
server.config.parameter.system.iucn_settings.tag.placeholder.tag_red,Rote Liste Tag auswählen,FALSE,Select red list tag,FALSE,Select red list tag,TRUE,Valitse punaisen kirjan tunniste,FALSE,Välj röd lista tagg,FALSE,Sélectionnez le tag de la liste rouge,FALSE,,FALSE,,FALSE
server.config.parameter.system.update_interval_iucn.days.label,Tage zwischen Updates,FALSE,Days between updates,FALSE,Days between updates,TRUE,Päivitysten väli päivissä,FALSE,Dagar mellan uppdateringar,FALSE,Nombre de jours entre les mises à jour,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
